trainset,AIHUB,LibriSpeech,VCTK,Elevenlabs,DDDM-VC,MeloTTS,VITS-TTS,SeamlessM4T-TTS,MMSTTS,DiffGAN,VITS-VC,Diff-HierVC,Tortoise-TTS,StarGANv2-VC,OpenVoice,StyleTTS2,SNS2024,SNS2023
MeloTTS,28.256143667296783,0.0,0.0,28.075,100.0,0.0,86.95121951219512,9.772727272727273,79.79166666666667,89.0,100.0,97.3125,55.895833333333336,98.29166666666667,78.84615384615384,87.01923076923077,3.566121842496285,40.719424460431654
VITS-VC,41.110572259941804,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,99.875,99.83333333333333,100.0,100.0,5.255023183925812,51.58437730287398
Diff-HierVC,40.53782477630509,0.0,0.0,100.0,98.625,100.0,91.64634146341464,99.6590909090909,100.0,100.0,99.95833333333334,0.0,97.64583333333333,2.7916666666666665,100.0,100.0,5.13595166163142,50.4
OpenVoice,40.22095715939791,0.0,0.0,100.0,100.0,89.625,100.0,100.0,100.0,80.5,100.0,100.0,99.875,100.0,0.0,99.8076923076923,5.226748654880861,50.879765395894424
MMSTTS,36.609571067321916,0.0,0.0,44.224999999999994,99.5625,73.5,99.90853658536587,43.75,0.0,99.75,99.95833333333334,99.25,92.02083333333333,100.0,91.92307692307692,91.34615384615384,4.518072289156627,42.59796806966618
Elevenlabs,19.683664304959585,0.0,0.0,0.0,99.9375,27.875,73.53658536585365,0.7386363636363636,69.86111111111111,94.5,100.0,95.6875,54.75,92.04166666666667,91.29807692307692,95.1923076923077,4.038772213247173,42.31927710843373
Tortoise-TTS,42.8867752706668,0.0,0.0,97.625,94.125,82.0,91.67682926829268,88.80681818181819,99.65277777777779,78.25,99.95833333333334,49.8125,0.0,26.5,98.07692307692307,97.59615384615384,5.189456342668864,53.01296720061022
StarGANv2-VC,41.00872938894277,0.0,0.0,100.0,97.4375,99.875,80.73170731707317,97.1590909090909,100.0,100.0,99.95833333333334,1.6875,90.6875,0.0,100.0,100.0,5.023183925811438,51.28960943257185
DiffGAN,39.48628850488355,0.0,0.0,99.925,100.0,100.0,97.5609756097561,99.94318181818181,100.0,0.0,100.0,99.9375,93.58333333333333,100.0,100.0,99.03846153846155,4.797047970479705,34.02578796561605
StyleTTS2,40.18487793315952,0.0,0.0,99.45,100.0,88.625,99.9390243902439,100.0,97.01388888888889,98.5,100.0,99.9375,93.33333333333333,100.0,100.0,0.0,5.074626865671641,50.21707670043415
SeamlessM4T-TTS,31.87640934606343,0.0,0.0,34.225,99.9375,39.25,95.57926829268293,0.0,86.11111111111111,100.0,99.95833333333334,91.75,85.72916666666667,90.25,99.85576923076923,99.8076923076923,4.420731707317073,42.4198250728863
DDDM-VC,40.561749365998374,0.0,0.0,100.0,0.0,100.0,100.0,100.0,99.86111111111111,79.5,99.58333333333333,83.0625,99.5625,94.66666666666667,100.0,100.0,5.13595166163142,49.45454545454545
VITS-TTS,34.83295555336552,0.0,0.0,94.625,100.0,77.625,0.0,79.31818181818183,96.59722222222223,23.25,99.66666666666667,42.0,59.27083333333333,21.708333333333332,100.0,99.8076923076923,5.138339920948617,50.894187779433686
