group,num_misclass_x,num_total_x,misclass_rate_x,num_misclass_y,num_total_y,misclass_rate_y,num_misclass_x,num_total_x,misclass_rate_x,num_misclass_y,num_total_y,misclass_rate_y,num_misclass,num_total,misclass_rate
AIHUB,17,13040,0.1303680981595092,11,13040,0.0843558282208589,6,13040,0.046012269938650305,33,13040,0.2530674846625767,1,13040,0.007668711656441719
LibriSpeech,144,13280,1.0843373493975903,90,13280,0.677710843373494,45,13280,0.338855421686747,106,13280,0.7981927710843374,3,13280,0.022590361445783132
VCTK,37,8720,0.4243119266055046,32,8720,0.3669724770642202,47,8720,0.5389908256880734,38,8720,0.4357798165137615,80,8720,0.9174311926605505
Elevenlabs,13,4000,0.325,7,4000,0.17500000000000002,9,4000,0.22499999999999998,22,4000,0.5499999999999999,18,4000,0.44999999999999996
DDDM-VC,13,1600,0.8125,12,1600,0.75,3,1600,0.1875,25,1600,1.5625,7,1600,0.43750000000000006
MeloTTS,1,800,0.125,1,800,0.125,2,800,0.25,2,800,0.25,0,800,0.0
VITS-TTS,16,3280,0.4878048780487805,214,3280,6.524390243902439,63,3280,1.920731707317073,31,3280,0.9451219512195121,1109,3280,33.8109756097561
SeamlessM4T-TTS,0,1760,0.0,0,1760,0.0,0,1760,0.0,0,1760,0.0,1,1760,0.056818181818181816
MMSTTS,13,1440,0.9027777777777777,434,1440,30.138888888888886,449,1440,31.180555555555557,16,1440,1.1111111111111112,159,1440,11.041666666666666
DiffGAN,11,400,2.75,14,400,3.5000000000000004,6,400,1.5,10,400,2.5,0,400,0.0
QuickVC,28,2400,1.1666666666666667,26,2400,1.0833333333333335,21,2400,0.8750000000000001,29,2400,1.2083333333333333,9,2400,0.375
Diff-HierVC,1,1600,0.0625,39,1600,2.4375,33,1600,2.0625,6,1600,0.375,81,1600,5.0625
Tortoise-TTS,79,4800,1.6458333333333333,64,4800,1.3333333333333335,76,4800,1.5833333333333335,60,4800,1.25,0,4800,0.0
StarGANv2-VC,1,2400,0.04166666666666667,2,2400,0.08333333333333334,3,2400,0.125,1,2400,0.04166666666666667,0,2400,0.0
OpenVoice,0,2080,0.0,0,2080,0.0,2,2080,0.09615384615384616,3,2080,0.14423076923076925,0,2080,0.0
StyleTTS2,8,1040,0.7692307692307693,3,1040,0.2884615384615385,10,1040,0.9615384615384616,7,1040,0.6730769230769231,1,1040,0.09615384615384616
SNS_bona,250,2024,12.351778656126482,230,2024,11.363636363636363,236,2024,11.6600790513834,112,2024,5.533596837944664,29,2024,1.4328063241106719
SNS_spoof,113,768,14.713541666666666,118,768,15.364583333333334,113,768,14.713541666666666,185,768,24.088541666666664,63,768,8.203125
VITS-AIHUB,6,8477,0.070779756989501,4,8477,0.04718650465966734,9,8477,0.1061696354842515,7,8477,0.08257638315441783,19,8477,0.22413589713341986
