,2GAN,E2EGAN,GAN NoE2E,Diffusion Acoustic,Flow Acoustic,GAN Vocoder,VCTK,LibriTTS
AIHUB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LibriSpeech,99.84939759036145,99.8343373493976,99.84939759036145,99.00602409638554,99.84939759036145,99.60843373493977,99.97740963855422,99.66114457831326
VCTK,99.93119266055047,99.95412844036697,99.93119266055047,99.9197247706422,99.7362385321101,99.63302752293578,99.88532110091744,99.55275229357798
Elevenlabs,0.025,92.675,0.025,6.550000000000001,3.225,8.924999999999999,0.0,0.025
DDDM-VC,100.0,0.375,100.0,100.0,0.0625,100.0,1.1875,100.0
MeloTTS,0.0,58.75,0.0,26.75,18.625,19.375,0.625,0.0
VITS-TTS,2.0121951219512195,8.414634146341465,2.0121951219512195,13.719512195121952,99.60365853658537,99.39024390243902,35.18292682926829,1.676829268292683
SeamlessM4T-TTS,2.3863636363636367,100.0,2.3863636363636367,37.5,19.43181818181818,34.94318181818182,3.0113636363636362,0.3409090909090909
MMSTTS,0.4861111111111111,99.51388888888889,0.4861111111111111,7.291666666666667,5.347222222222222,3.4722222222222223,0.7638888888888888,0.6944444444444444
DiffGAN,0.0,1.0,0.0,33.75,37.0,70.75,0.0,0.25
QuickVC,0.5833333333333334,0.20833333333333334,0.5833333333333334,0.9583333333333333,100.0,2.9583333333333335,99.95833333333334,0.5416666666666667
Diff-HierVC,100.0,13.5,100.0,97.0,73.8125,99.0,93.6875,100.0
Tortoise-TTS,9.25,26.625,9.25,99.6875,31.854166666666668,61.68749999999999,6.854166666666667,6.645833333333333
StarGANv2-VC,100.0,10.916666666666666,100.0,98.58333333333333,88.0,99.66666666666667,100.0,98.79166666666667
OpenVoice,0.09615384615384616,24.134615384615383,0.09615384615384616,5.288461538461538,0.2403846153846154,1.7788461538461537,0.09615384615384616,0.0
StyleTTS2,0.0,8.365384615384615,0.0,9.519230769230768,0.2884615384615385,0.2884615384615385,0.0,0.0
SNS2024,95.08670520231213,95.88150289017341,95.08670520231213,94.94219653179191,95.23121387283237,95.08670520231213,95.23121387283237,95.01445086705202
SNS2023,50.92329545454546,55.46875,50.92329545454546,50.28409090909091,51.13636363636363,51.98863636363637,50.28409090909091,50.63920454545454
VITS-AIHUB,0.4010852896071723,62.85242420667689,0.4010852896071723,1.3448153828005192,21.965317919075144,64.36239235578624,0.12976288781408518,0.2477291494632535
