trainset,Elevenlabs,DDDM-VC,MeloTTS,VITS-TTS,SeamlessM4T-TTS,MMSTTS,QuickVC,Diff-HierVC,Tortoise-TTS,StarGANv2-VC,OpenVoice,StyleTTS2
DDDM-VC,0.0,0.0,0.0,0.030487804878049474,0.0,0.5555555555555571,1.3333333333333286,38.6875,1.75,9.833333333333343,0.0,0.0
Diff-HierVC,0.14999999999999147,1.25,0.0,12.621951219512198,1.363636363636374,0.13888888888888573,0.04166666666665719,0.0,12.0625,96.29166666666667,0.0,0.0
SeamlessM4T-TTS,67.4,0.0,58.125,1.7987804878048763,0.0,14.652777777777786,0.0,7.1875,17.770833333333343,4.416666666666671,0.0,0.0
QuickVC,0.0,0.0,0.0,0.2439024390243958,0.0,0.0,0.0,0.25,0.1458333333333286,0.7916666666666714,0.0,0.0
Tortoise-TTS,9.549999999999997,14.0625,39.125,40.85365853658537,19.375,9.097222222222229,1.625,86.6875,0.0,87.79166666666667,3.461538461538467,36.53846153846154
OpenVoice,0.0,0.0,11.875,0.0,0.0,0.13888888888888573,0.0,0.0,1.1875,0.0,0.0,0.6730769230769198
MeloTTS,71.925,0.0,0.0,13.018292682926827,90.22727272727272,20.20833333333333,0.0,2.6875,44.104166666666664,1.7083333333333286,21.15384615384616,12.980769230769226
StarGANv2-VC,0.0,2.875,0.0,21.554878048780495,3.068181818181813,0.0,0.1666666666666714,99.125,8.104166666666671,0.0,0.0,0.0
StyleTTS2,3.424999999999997,0.0,29.125,0.39634146341462895,0.0,9.791666666666671,0.0833333333333286,0.0,24.66666666666667,0.0,0.0480769230769198,0.0
VITS-TTS,23.150000000000006,0.25,28.75,0.0,34.94318181818183,0.9722222222222143,0.4583333333333428,93.9375,67.75,94.375,0.0,1.8269230769230802
Elevenlabs,0.0,0.0,68.125,17.53048780487805,99.0340909090909,62.56944444444444,0.0,17.0625,41.6875,12.041666666666657,1.0576923076923066,29.807692307692307
MMSTTS,69.05,0.3125,30.0,0.3658536585365795,79.14772727272728,0.0,0.04166666666665719,8.3125,16.85416666666667,1.0,15.57692307692308,16.057692307692307
